area_code,area_name,indicator,group,measure,value
S12000039,West Dunbartonshire,Voted leave in EU referendum,NA,Percentage,38.01
S12000040,West Lothian,Voted leave in EU referendum,NA,Percentage,41.75
S12000041,Angus,Voted leave in EU referendum,NA,Percentage,44.74
S12000042,Dundee City,Voted leave in EU referendum,NA,Percentage,40.22
S12000044,North Lanarkshire,Voted leave in EU referendum,NA,Percentage,38.34
S12000045,East Dunbartonshire,Voted leave in EU referendum,NA,Percentage,28.6
S12000046,Glasgow City,Voted leave in EU referendum,NA,Percentage,33.41
E06000035,Medway,Voted leave in EU referendum,NA,Percentage,64.08
E06000036,Bracknell Forest,Voted leave in EU referendum,NA,Percentage,53.94
E06000037,West Berkshire,Voted leave in EU referendum,NA,Percentage,48.22
E06000038,Reading,Voted leave in EU referendum,NA,Percentage,41.97
E06000039,Slough,Voted leave in EU referendum,NA,Percentage,54.33
E06000040,Windsor and Maidenhead,Voted leave in EU referendum,NA,Percentage,46.1
E06000041,Wokingham,Voted leave in EU referendum,NA,Percentage,43.31
E06000042,Milton Keynes,Voted leave in EU referendum,NA,Percentage,51.41
E06000043,Brighton and Hove,Voted leave in EU referendum,NA,Percentage,31.38
E06000044,Portsmouth,Voted leave in EU referendum,NA,Percentage,58.08
E06000045,Southampton,Voted leave in EU referendum,NA,Percentage,53.8
E06000046,Isle of Wight,Voted leave in EU referendum,NA,Percentage,61.95
E07000004,Aylesbury Vale,Voted leave in EU referendum,NA,Percentage,50.5
E07000005,Chiltern,Voted leave in EU referendum,NA,Percentage,44.98
E07000006,South Bucks,Voted leave in EU referendum,NA,Percentage,50.7
E07000007,Wycombe,Voted leave in EU referendum,NA,Percentage,48.03
E07000061,Eastbourne,Voted leave in EU referendum,NA,Percentage,57.33
E07000062,Hastings,Voted leave in EU referendum,NA,Percentage,54.88
E07000063,Lewes,Voted leave in EU referendum,NA,Percentage,47.93
E07000064,Rother,Voted leave in EU referendum,NA,Percentage,58.53
E07000065,Wealden,Voted leave in EU referendum,NA,Percentage,54.5
E07000084,Basingstoke and Deane,Voted leave in EU referendum,NA,Percentage,51.9
E07000085,East Hampshire,Voted leave in EU referendum,NA,Percentage,49.48
E07000086,Eastleigh,Voted leave in EU referendum,NA,Percentage,52.45
E07000087,Fareham,Voted leave in EU referendum,NA,Percentage,55.1
E07000088,Gosport,Voted leave in EU referendum,NA,Percentage,63.86
E07000089,Hart,Voted leave in EU referendum,NA,Percentage,47.6
E07000090,Havant,Voted leave in EU referendum,NA,Percentage,62.36
E07000091,New Forest,Voted leave in EU referendum,NA,Percentage,57.76
E07000092,Rushmoor,Voted leave in EU referendum,NA,Percentage,58.21
E07000093,Test Valley,Voted leave in EU referendum,NA,Percentage,51.94
E07000094,Winchester,Voted leave in EU referendum,NA,Percentage,41.07
E07000105,Ashford,Voted leave in EU referendum,NA,Percentage,59.43
E07000106,Canterbury,Voted leave in EU referendum,NA,Percentage,51.04
E07000107,Dartford,Voted leave in EU referendum,NA,Percentage,64.22
E07000108,Dover,Voted leave in EU referendum,NA,Percentage,62.15
E07000109,Gravesham,Voted leave in EU referendum,NA,Percentage,65.38
E07000110,Maidstone,Voted leave in EU referendum,NA,Percentage,58.75
E07000111,Sevenoaks,Voted leave in EU referendum,NA,Percentage,54.38
E07000112,Shepway,Voted leave in EU referendum,NA,Percentage,62.25
E07000113,Swale,Voted leave in EU referendum,NA,Percentage,62.46
E07000114,Thanet,Voted leave in EU referendum,NA,Percentage,63.85
E07000115,Tonbridge and Malling,Voted leave in EU referendum,NA,Percentage,55.7
E07000116,Tunbridge Wells,Voted leave in EU referendum,NA,Percentage,45.11
E07000177,Cherwell,Voted leave in EU referendum,NA,Percentage,50.31
E07000178,Oxford,Voted leave in EU referendum,NA,Percentage,29.73
E07000179,South Oxfordshire,Voted leave in EU referendum,NA,Percentage,45.02
E07000180,Vale of White Horse,Voted leave in EU referendum,NA,Percentage,43.3
E07000181,West Oxfordshire,Voted leave in EU referendum,NA,Percentage,46.34
E07000207,Elmbridge,Voted leave in EU referendum,NA,Percentage,40.47
E07000208,Epsom and Ewell,Voted leave in EU referendum,NA,Percentage,47.92
